,Label,nb_pixels
392,Fish,249069
393,Flower,1466299
394,Gravel,0
395,Sugar,0
396,Fish,630141
397,Flower,0
398,Gravel,0
399,Sugar,707344
400,Fish,0
401,Flower,0
402,Gravel,702475
403,Sugar,1267802
404,Fish,0
405,Flower,1588031
406,Gravel,0
407,Sugar,0
408,Fish,1303517
409,Flower,359840
410,Gravel,0
411,Sugar,749879
412,Fish,1060205
413,Flower,0
414,Gravel,0
415,Sugar,1111854
416,Fish,0
417,Flower,1168697
418,Gravel,470238
419,Sugar,1004748
420,Fish,0
421,Flower,634425
422,Gravel,977763
423,Sugar,0
424,Fish,0
425,Flower,1001815
426,Gravel,598136
427,Sugar,1198658
428,Fish,0
429,Flower,1116438
430,Gravel,0
431,Sugar,421562
432,Fish,943799
433,Flower,289578
434,Gravel,0
435,Sugar,299968
436,Fish,0
437,Flower,0
438,Gravel,1094040
439,Sugar,821200
440,Fish,1503069
441,Flower,325966
442,Gravel,0
443,Sugar,516790
444,Fish,670510
445,Flower,0
446,Gravel,0
447,Sugar,1164306
448,Fish,1098587
449,Flower,0
450,Gravel,0
451,Sugar,0
452,Fish,697005
453,Flower,0
454,Gravel,2372323
455,Sugar,354943
456,Fish,0
457,Flower,0
458,Gravel,0
459,Sugar,1977514
460,Fish,0
461,Flower,0
462,Gravel,0
463,Sugar,1710585
464,Fish,0
465,Flower,552684
466,Gravel,0
467,Sugar,557927
468,Fish,857778
469,Flower,928443
470,Gravel,808461
471,Sugar,470878
472,Fish,0
473,Flower,0
474,Gravel,618030
475,Sugar,1463852
476,Fish,1192175
477,Flower,665520
478,Gravel,0
479,Sugar,1370336
480,Fish,0
481,Flower,0
482,Gravel,0
483,Sugar,881771
484,Fish,1797238
485,Flower,0
486,Gravel,590654
487,Sugar,0
488,Fish,0
489,Flower,0
490,Gravel,2012219
491,Sugar,323161
492,Fish,704681
493,Flower,0
494,Gravel,339023
495,Sugar,616728
496,Fish,0
497,Flower,979609
498,Gravel,919701
499,Sugar,0
500,Fish,0
501,Flower,1194155
502,Gravel,0
503,Sugar,186162
504,Fish,0
505,Flower,1348088
506,Gravel,0
507,Sugar,0
508,Fish,451261
509,Flower,611936
510,Gravel,1315251
511,Sugar,0
512,Fish,255490
513,Flower,0
514,Gravel,647800
515,Sugar,427869
516,Fish,0
517,Flower,0
518,Gravel,2115400
519,Sugar,0
520,Fish,0
521,Flower,0
522,Gravel,1363824
523,Sugar,305664
524,Fish,0
525,Flower,1119367
526,Gravel,0
527,Sugar,387331
528,Fish,889809
529,Flower,0
530,Gravel,0
531,Sugar,0
532,Fish,887426
533,Flower,1027733
534,Gravel,404948
535,Sugar,605929
536,Fish,717518
537,Flower,0
538,Gravel,0
539,Sugar,0
540,Fish,1746133
541,Flower,0
542,Gravel,640109
543,Sugar,0
544,Fish,0
545,Flower,0
546,Gravel,0
547,Sugar,2223123
548,Fish,1585059
549,Flower,0
550,Gravel,751927
551,Sugar,375399
552,Fish,980121
553,Flower,0
554,Gravel,983279
555,Sugar,833189
556,Fish,0
557,Flower,460984
558,Gravel,0
559,Sugar,396509
560,Fish,0
561,Flower,0
562,Gravel,711298
563,Sugar,243837
564,Fish,0
565,Flower,1164328
566,Gravel,0
567,Sugar,0
568,Fish,939269
569,Flower,0
570,Gravel,0
571,Sugar,933257
572,Fish,0
573,Flower,744384
574,Gravel,801161
575,Sugar,159846
576,Fish,0
577,Flower,0
578,Gravel,1606383
579,Sugar,148000
580,Fish,0
581,Flower,1043857
582,Gravel,892712
583,Sugar,1064999
584,Fish,0
585,Flower,794178
586,Gravel,0
587,Sugar,183923
588,Fish,0
589,Flower,2137653
590,Gravel,334246
591,Sugar,0
592,Fish,0
593,Flower,1927845
594,Gravel,0
595,Sugar,0
596,Fish,1468142
597,Flower,124024
598,Gravel,0
599,Sugar,0
600,Fish,0
601,Flower,492304
602,Gravel,0
603,Sugar,0
604,Fish,742458
605,Flower,1245675
606,Gravel,0
607,Sugar,927356
608,Fish,0
609,Flower,0
610,Gravel,0
611,Sugar,1810202
612,Fish,0
613,Flower,2326817
614,Gravel,1021020
615,Sugar,0
616,Fish,0
617,Flower,0
618,Gravel,0
619,Sugar,1747469
620,Fish,0
621,Flower,2068727
622,Gravel,0
623,Sugar,350965
624,Fish,0
625,Flower,719157
626,Gravel,0
627,Sugar,0
628,Fish,1684061
629,Flower,0
630,Gravel,618444
631,Sugar,1500646
632,Fish,1489355
633,Flower,0
634,Gravel,0
635,Sugar,517474
636,Fish,0
637,Flower,1090908
638,Gravel,0
639,Sugar,489668
640,Fish,117000
641,Flower,540605
642,Gravel,0
643,Sugar,148654
644,Fish,1039998
645,Flower,0
646,Gravel,304449
647,Sugar,317839
648,Fish,0
649,Flower,868488
650,Gravel,0
651,Sugar,399103
652,Fish,0
653,Flower,0
654,Gravel,668044
655,Sugar,432320
656,Fish,1548413
657,Flower,0
658,Gravel,0
659,Sugar,275480
660,Fish,460766
661,Flower,659602
662,Gravel,1394571
663,Sugar,368845
664,Fish,1080078
665,Flower,0
666,Gravel,525778
667,Sugar,0
668,Fish,0
669,Flower,0
670,Gravel,1395517
671,Sugar,147050
672,Fish,0
673,Flower,1664725
674,Gravel,0
675,Sugar,254903
676,Fish,460767
677,Flower,0
678,Gravel,0
679,Sugar,275007
680,Fish,0
681,Flower,0
682,Gravel,0
683,Sugar,822825
684,Fish,1057431
685,Flower,0
686,Gravel,0
687,Sugar,452074
688,Fish,0
689,Flower,0
690,Gravel,1056803
691,Sugar,841958
692,Fish,0
693,Flower,0
694,Gravel,1386526
695,Sugar,1429004
696,Fish,503280
697,Flower,0
698,Gravel,0
699,Sugar,560872
700,Fish,262196
701,Flower,0
702,Gravel,1038875
703,Sugar,147727
704,Fish,0
705,Flower,752119
706,Gravel,0
707,Sugar,751488
708,Fish,720728
709,Flower,0
710,Gravel,0
711,Sugar,0
712,Fish,0
713,Flower,2157312
714,Gravel,0
715,Sugar,291498
716,Fish,0
717,Flower,2176631
718,Gravel,0
719,Sugar,0
720,Fish,0
721,Flower,818895
722,Gravel,0
723,Sugar,213750
724,Fish,284297
725,Flower,0
726,Gravel,1797555
727,Sugar,577788
728,Fish,180930
729,Flower,0
730,Gravel,0
731,Sugar,426912
732,Fish,1608401
733,Flower,533526
734,Gravel,0
735,Sugar,0
736,Fish,0
737,Flower,0
738,Gravel,1699244
739,Sugar,0
740,Fish,0
741,Flower,898897
742,Gravel,1041268
743,Sugar,0
744,Fish,0
745,Flower,0
746,Gravel,0
747,Sugar,370024
748,Fish,0
749,Flower,0
750,Gravel,0
751,Sugar,1384699
752,Fish,1167865
753,Flower,0
754,Gravel,0
755,Sugar,568480
756,Fish,245820
757,Flower,1177459
758,Gravel,0
759,Sugar,510883
760,Fish,475235
761,Flower,1004808
762,Gravel,0
763,Sugar,325054
764,Fish,404791
765,Flower,602759
766,Gravel,1088720
767,Sugar,940458
768,Fish,0
769,Flower,840653
770,Gravel,0
771,Sugar,1099218
772,Fish,0
773,Flower,0
774,Gravel,409190
775,Sugar,517548
776,Fish,0
777,Flower,0
778,Gravel,470269
779,Sugar,1068944
780,Fish,0
781,Flower,0
782,Gravel,1933844
783,Sugar,227679
784,Fish,0
785,Flower,1688734
786,Gravel,818222
787,Sugar,115623
788,Fish,0
789,Flower,372600
790,Gravel,0
791,Sugar,281907
792,Fish,0
793,Flower,854939
794,Gravel,0
795,Sugar,0
796,Fish,0
797,Flower,1671808
798,Gravel,0
799,Sugar,0
800,Fish,0
801,Flower,823405
802,Gravel,0
803,Sugar,412471
804,Fish,0
805,Flower,537208
806,Gravel,1883508
807,Sugar,172888
808,Fish,0
809,Flower,358490
810,Gravel,1385545
811,Sugar,1033232
812,Fish,0
813,Flower,0
814,Gravel,748189
815,Sugar,889679
816,Fish,1214305
817,Flower,0
818,Gravel,518476
819,Sugar,842697
820,Fish,0
821,Flower,0
822,Gravel,282093
823,Sugar,175769
824,Fish,0
825,Flower,0
826,Gravel,731343
827,Sugar,0
828,Fish,570445
829,Flower,0
830,Gravel,1460581
831,Sugar,208997
832,Fish,0
833,Flower,0
834,Gravel,1208000
835,Sugar,183506
836,Fish,0
837,Flower,324664
838,Gravel,0
839,Sugar,0
840,Fish,2206154
841,Flower,1066937
842,Gravel,0
843,Sugar,0
844,Fish,0
845,Flower,746273
846,Gravel,159600
847,Sugar,1467870
848,Fish,783894
849,Flower,782942
850,Gravel,0
851,Sugar,0
852,Fish,532125
853,Flower,0
854,Gravel,1095232
855,Sugar,0
856,Fish,0
857,Flower,922899
858,Gravel,0
859,Sugar,357066
860,Fish,0
861,Flower,0
862,Gravel,183649
863,Sugar,201755
864,Fish,602360
865,Flower,1739105
866,Gravel,0
867,Sugar,0
868,Fish,2165245
869,Flower,0
870,Gravel,1287432
871,Sugar,0
872,Fish,0
873,Flower,1015358
874,Gravel,152988
875,Sugar,0
876,Fish,0
877,Flower,0
878,Gravel,0
879,Sugar,1262881
880,Fish,1194874
881,Flower,0
882,Gravel,468636
883,Sugar,1025569
884,Fish,0
885,Flower,0
886,Gravel,969752
887,Sugar,904630
888,Fish,963334
889,Flower,855501
890,Gravel,471901
891,Sugar,0
892,Fish,0
893,Flower,1736673
894,Gravel,0
895,Sugar,0
896,Fish,437580
897,Flower,593495
898,Gravel,1141069
899,Sugar,0
900,Fish,1400286
901,Flower,0
902,Gravel,0
903,Sugar,0
904,Fish,0
905,Flower,249963
906,Gravel,0
907,Sugar,1032503
908,Fish,1907860
909,Flower,0
910,Gravel,0
911,Sugar,948494
912,Fish,0
913,Flower,0
914,Gravel,1390260
915,Sugar,1200984
916,Fish,0
917,Flower,674212
918,Gravel,0
919,Sugar,0
920,Fish,0
921,Flower,588896
922,Gravel,402822
923,Sugar,557089
924,Fish,0
925,Flower,1059711
926,Gravel,0
927,Sugar,1152715
928,Fish,0
929,Flower,0
930,Gravel,268903
931,Sugar,0
932,Fish,667180
933,Flower,0
934,Gravel,1789247
935,Sugar,558978
936,Fish,1009917
937,Flower,1140726
938,Gravel,0
939,Sugar,0
940,Fish,0
941,Flower,0
942,Gravel,1246942
943,Sugar,779431
944,Fish,0
945,Flower,566964
946,Gravel,464131
947,Sugar,0
948,Fish,0
949,Flower,886867
950,Gravel,0
951,Sugar,0
952,Fish,0
953,Flower,0
954,Gravel,824737
955,Sugar,383768
956,Fish,0
957,Flower,0
958,Gravel,338796
959,Sugar,94615
960,Fish,230154
961,Flower,0
962,Gravel,681359
963,Sugar,1137356
964,Fish,1393339
965,Flower,0
966,Gravel,0
967,Sugar,1256458
968,Fish,0
969,Flower,89846
970,Gravel,597980
971,Sugar,327178
972,Fish,180136
973,Flower,822004
974,Gravel,0
975,Sugar,562791
976,Fish,0
977,Flower,2048618
978,Gravel,0
979,Sugar,280665
980,Fish,1049893
981,Flower,0
982,Gravel,0
983,Sugar,0
984,Fish,0
985,Flower,0
986,Gravel,0
987,Sugar,1262157
988,Fish,2824276
989,Flower,0
990,Gravel,0
991,Sugar,642893
992,Fish,0
993,Flower,978496
994,Gravel,0
995,Sugar,680341
996,Fish,0
997,Flower,554068
998,Gravel,915080
999,Sugar,790118
1000,Fish,0
1001,Flower,222912
1002,Gravel,1013910
1003,Sugar,688847
1004,Fish,1600694
1005,Flower,395810
1006,Gravel,427888
1007,Sugar,858604
1008,Fish,2077832
1009,Flower,0
1010,Gravel,0
1011,Sugar,679715
1012,Fish,469044
1013,Flower,0
1014,Gravel,0
1015,Sugar,724656
1016,Fish,0
1017,Flower,0
1018,Gravel,0
1019,Sugar,448752
1020,Fish,0
1021,Flower,738787
1022,Gravel,0
1023,Sugar,0
1024,Fish,350198
1025,Flower,158006
1026,Gravel,325631
1027,Sugar,850667
1028,Fish,1485395
1029,Flower,208416
1030,Gravel,226062
1031,Sugar,1119365
1032,Fish,0
1033,Flower,260768
1034,Gravel,311256
1035,Sugar,1349020
1036,Fish,556477
1037,Flower,0
1038,Gravel,718481
1039,Sugar,545883
1040,Fish,0
1041,Flower,0
1042,Gravel,470458
1043,Sugar,1552305
1044,Fish,0
1045,Flower,158105
1046,Gravel,1337918
1047,Sugar,412687
1048,Fish,0
1049,Flower,1543395
1050,Gravel,0
1051,Sugar,167301
1052,Fish,455591
1053,Flower,0
1054,Gravel,0
1055,Sugar,324887
1056,Fish,599465
1057,Flower,0
1058,Gravel,617077
1059,Sugar,595115
1060,Fish,1198916
1061,Flower,0
1062,Gravel,0
1063,Sugar,0
1064,Fish,0
1065,Flower,0
1066,Gravel,111652
1067,Sugar,805707
1068,Fish,667078
1069,Flower,0
1070,Gravel,124040
1071,Sugar,812834
1072,Fish,1500227
1073,Flower,724213
1074,Gravel,239666
1075,Sugar,0
1076,Fish,1123646
1077,Flower,1206771
1078,Gravel,652501
1079,Sugar,457341
1080,Fish,0
1081,Flower,0
1082,Gravel,0
1083,Sugar,916504
1084,Fish,0
1085,Flower,1106410
1086,Gravel,265506
1087,Sugar,0
1088,Fish,957801
1089,Flower,0
1090,Gravel,0
1091,Sugar,564548
1092,Fish,178770
1093,Flower,0
1094,Gravel,0
1095,Sugar,425128
1096,Fish,0
1097,Flower,569111
1098,Gravel,0
1099,Sugar,460636
1100,Fish,1036913
1101,Flower,0
1102,Gravel,494793
1103,Sugar,366538
1104,Fish,0
1105,Flower,540584
1106,Gravel,0
1107,Sugar,0
1108,Fish,0
1109,Flower,0
1110,Gravel,1073386
1111,Sugar,878047
1112,Fish,1536289
1113,Flower,0
1114,Gravel,583618
1115,Sugar,123012
1116,Fish,1366441
1117,Flower,0
1118,Gravel,0
1119,Sugar,496212
1120,Fish,1744632
1121,Flower,0
1122,Gravel,0
1123,Sugar,0
1124,Fish,501291
1125,Flower,0
1126,Gravel,0
1127,Sugar,449807
1128,Fish,354041
1129,Flower,166934
1130,Gravel,606454
1131,Sugar,1164918
1132,Fish,967936
1133,Flower,569517
1134,Gravel,0
1135,Sugar,864578
1136,Fish,392188
1137,Flower,0
1138,Gravel,0
1139,Sugar,0
1140,Fish,0
1141,Flower,1050571
1142,Gravel,934544
1143,Sugar,790920
1144,Fish,1196029
1145,Flower,895599
1146,Gravel,0
1147,Sugar,0
1148,Fish,0
1149,Flower,713079
1150,Gravel,0
1151,Sugar,1327829
1152,Fish,0
1153,Flower,0
1154,Gravel,539360
1155,Sugar,266854
1156,Fish,365185
1157,Flower,0
1158,Gravel,0
1159,Sugar,0
1160,Fish,1260026
1161,Flower,0
1162,Gravel,0
1163,Sugar,0
1164,Fish,813359
1165,Flower,0
1166,Gravel,414380
1167,Sugar,275337
1168,Fish,0
1169,Flower,2310945
1170,Gravel,0
1171,Sugar,479655
1172,Fish,427742
1173,Flower,0
1174,Gravel,1738452
1175,Sugar,0
1176,Fish,0
1177,Flower,0
1178,Gravel,1024699
1179,Sugar,405284
1180,Fish,514360
1181,Flower,0
1182,Gravel,1578747
1183,Sugar,772879
1184,Fish,605733
1185,Flower,0
1186,Gravel,2002768
1187,Sugar,0
1188,Fish,573097
1189,Flower,0
1190,Gravel,649758
1191,Sugar,206114
1192,Fish,840560
1193,Flower,0
1194,Gravel,0
1195,Sugar,120408
1196,Fish,133952
1197,Flower,0
1198,Gravel,666991
1199,Sugar,696877
1200,Fish,134136
1201,Flower,1793256
1202,Gravel,268996
1203,Sugar,0
1204,Fish,676943
1205,Flower,454455
1206,Gravel,0
1207,Sugar,0
1208,Fish,0
1209,Flower,1606488
1210,Gravel,0
1211,Sugar,0
1212,Fish,0
1213,Flower,289196
1214,Gravel,0
1215,Sugar,926323
1216,Fish,0
1217,Flower,0
1218,Gravel,1094262
1219,Sugar,620959
1220,Fish,674955
1221,Flower,334260
1222,Gravel,396135
1223,Sugar,1253467
1224,Fish,779415
1225,Flower,626590
1226,Gravel,411764
1227,Sugar,2236119
1228,Fish,358680
1229,Flower,0
1230,Gravel,221244
1231,Sugar,0
1232,Fish,0
1233,Flower,0
1234,Gravel,279265
1235,Sugar,1685898
1236,Fish,203150
1237,Flower,0
1238,Gravel,263639
1239,Sugar,219350
1240,Fish,0
1241,Flower,1465222
1242,Gravel,0
1243,Sugar,223304
1244,Fish,0
1245,Flower,0
1246,Gravel,1411172
1247,Sugar,536223
1248,Fish,0
1249,Flower,0
1250,Gravel,325037
1251,Sugar,697126
1252,Fish,705337
1253,Flower,0
1254,Gravel,1265665
1255,Sugar,806252
1256,Fish,438633
1257,Flower,1071091
1258,Gravel,259440
1259,Sugar,1157359
1260,Fish,0
1261,Flower,263894
1262,Gravel,0
1263,Sugar,1060131
1264,Fish,500076
1265,Flower,0
1266,Gravel,0
1267,Sugar,0
1268,Fish,1064048
1269,Flower,0
1270,Gravel,977143
1271,Sugar,687273
1272,Fish,0
1273,Flower,0
1274,Gravel,703866
1275,Sugar,230140
1276,Fish,0
1277,Flower,570179
1278,Gravel,0
1279,Sugar,1439697
1280,Fish,0
1281,Flower,0
1282,Gravel,246266
1283,Sugar,0
1284,Fish,564578
1285,Flower,445298
1286,Gravel,93093
1287,Sugar,0
1288,Fish,232329
1289,Flower,78778
1290,Gravel,833762
1291,Sugar,727922
1292,Fish,0
1293,Flower,866879
1294,Gravel,0
1295,Sugar,0
1296,Fish,0
1297,Flower,944538
1298,Gravel,0
1299,Sugar,213056
1300,Fish,0
1301,Flower,214760
1302,Gravel,0
1303,Sugar,271657
1304,Fish,0
1305,Flower,0
1306,Gravel,1357546
1307,Sugar,829903
1308,Fish,1505108
1309,Flower,473746
1310,Gravel,0
1311,Sugar,215586
1312,Fish,504306
1313,Flower,0
1314,Gravel,235986
1315,Sugar,0
1316,Fish,291464
1317,Flower,0
1318,Gravel,474886
1319,Sugar,1110147
1320,Fish,0
1321,Flower,978295
1322,Gravel,0
1323,Sugar,0
1324,Fish,1630539
1325,Flower,971871
1326,Gravel,889774
1327,Sugar,0
1328,Fish,189819
1329,Flower,1077359
1330,Gravel,0
1331,Sugar,306000
1332,Fish,0
1333,Flower,0
1334,Gravel,1131695
1335,Sugar,604568
1336,Fish,1522144
1337,Flower,0
1338,Gravel,844800
1339,Sugar,680340
1340,Fish,0
1341,Flower,0
1342,Gravel,707846
1343,Sugar,0
1344,Fish,736200
1345,Flower,0
1346,Gravel,0
1347,Sugar,0
1348,Fish,0
1349,Flower,947020
1350,Gravel,0
1351,Sugar,541459
1352,Fish,0
1353,Flower,0
1354,Gravel,989422
1355,Sugar,878332
1356,Fish,0
1357,Flower,523719
1358,Gravel,1556635
1359,Sugar,743116
1360,Fish,0
1361,Flower,0
1362,Gravel,0
1363,Sugar,1102609
1364,Fish,1439876
1365,Flower,128873
1366,Gravel,0
1367,Sugar,448728
1368,Fish,0
1369,Flower,0
1370,Gravel,1278439
1371,Sugar,0
1372,Fish,380828
1373,Flower,0
1374,Gravel,437304
1375,Sugar,0
1376,Fish,0
1377,Flower,1932841
1378,Gravel,0
1379,Sugar,0
1380,Fish,0
1381,Flower,1687068
1382,Gravel,1284686
1383,Sugar,192846
1384,Fish,0
1385,Flower,0
1386,Gravel,1416089
1387,Sugar,0
1388,Fish,1764825
1389,Flower,446838
1390,Gravel,0
1391,Sugar,0
1392,Fish,2407374
1393,Flower,0
1394,Gravel,0
1395,Sugar,0
1396,Fish,485723
1397,Flower,174174
1398,Gravel,0
1399,Sugar,666660
1400,Fish,1087005
1401,Flower,0
1402,Gravel,338660
1403,Sugar,585155
1404,Fish,342124
1405,Flower,0
1406,Gravel,608628
1407,Sugar,1229703
1408,Fish,767456
1409,Flower,256683
1410,Gravel,0
1411,Sugar,432142
1412,Fish,1676121
1413,Flower,706469
1414,Gravel,0
1415,Sugar,0
1416,Fish,0
1417,Flower,1286479
1418,Gravel,1034273
1419,Sugar,0
1420,Fish,0
1421,Flower,0
1422,Gravel,1022817
1423,Sugar,1415270
1424,Fish,745170
1425,Flower,0
1426,Gravel,0
1427,Sugar,0
1428,Fish,0
1429,Flower,867805
1430,Gravel,0
1431,Sugar,763102
1432,Fish,1066467
1433,Flower,0
1434,Gravel,162177
1435,Sugar,578356
1436,Fish,1068788
1437,Flower,1002552
1438,Gravel,0
1439,Sugar,0
1440,Fish,0
1441,Flower,0
1442,Gravel,1333129
1443,Sugar,712968
1444,Fish,0
1445,Flower,1242584
1446,Gravel,0
1447,Sugar,0
1448,Fish,1405518
1449,Flower,0
1450,Gravel,1625541
1451,Sugar,422576
1452,Fish,0
1453,Flower,1418199
1454,Gravel,0
1455,Sugar,775178
1456,Fish,0
1457,Flower,1012418
1458,Gravel,755326
1459,Sugar,363766
1460,Fish,0
1461,Flower,1004418
1462,Gravel,736576
